INFO     | 2019-02-27 17:08:43,852 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2019-02-27 17:08:43,858 | config     | Setting 'alignment' to 'Pygopodidae.phy'
INFO     | 2019-02-27 17:08:43,858 | config     | Setting 'branchlengths' to 'unlinked'
INFO     | 2019-02-27 17:08:43,859 | parser     | Setting 'models' to a user-specified list
INFO     | 2019-02-27 17:08:43,859 | parser     | The models included in this analysis are: HKY+G, GTR+I, GTR+G, HKY+I, GTR, HKY, JC+G, JC+I, JC
INFO     | 2019-02-27 17:08:43,859 | parser     | Setting datatype to 'DNA'
INFO     | 2019-02-27 17:08:43,859 | config     | Setting 'model_selection' to 'bic'
INFO     | 2019-02-27 17:08:43,868 | config     | Setting 'search' to 'greedy'
INFO     | 2019-02-27 17:08:43,868 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2019-02-27 17:08:43,869 | config     | Looking for alignment file './Pygopodidae.phy'...
INFO     | 2019-02-27 17:08:43,869 | analysis   | Beginning Analysis
INFO     | 2019-02-27 17:08:43,869 | analysis   | Removing Schemes in './analysis/schemes' (they will be recalculated from existing subset data)
INFO     | 2019-02-27 17:08:43,869 | config     | Checking previously run configuration data...
INFO     | 2019-02-27 17:08:43,873 | alignment  | Reading alignment file './Pygopodidae.phy'
INFO     | 2019-02-27 17:08:43,927 | analysis   | No starting tree file found.
INFO     | 2019-02-27 17:08:43,927 | phyml      | Making BioNJ tree for ./analysis/start_tree/filtered_source.phy
INFO     | 2019-02-27 17:08:44,213 | phyml      | Estimating GTR+I+G branch lengths on tree
INFO     | 2019-02-27 17:09:09,627 | phyml      | Branchlength estimation finished
INFO     | 2019-02-27 17:09:09,627 | analysis   | Starting tree with branch lengths is here: ./analysis/start_tree/filtered_source.phy_phyml_tree.txt
INFO     | 2019-02-27 17:09:09,627 | method     | Performing greedy analysis
INFO     | 2019-02-27 17:09:09,627 | progress   | PartitionFinder will have to analyse 211 subsets to complete this analysis
INFO     | 2019-02-27 17:09:09,627 | progress   | This will result in 561 schemes being created
INFO     | 2019-02-27 17:09:09,628 | method     | Analysing starting scheme (scheme start_scheme)
INFO     | 2019-02-27 17:09:10,720 | progress   | Finished subset 1/211, 0.47 percent done
INFO     | 2019-02-27 17:09:12,167 | progress   | Finished subset 2/211, 0.95 percent done
INFO     | 2019-02-27 17:09:13,779 | progress   | Finished subset 3/211, 1.42 percent done
INFO     | 2019-02-27 17:09:14,397 | progress   | Finished subset 4/211, 1.90 percent done
INFO     | 2019-02-27 17:09:23,751 | progress   | Finished subset 5/211, 2.37 percent done
INFO     | 2019-02-27 17:09:24,213 | progress   | Finished subset 6/211, 2.84 percent done
INFO     | 2019-02-27 17:09:25,576 | progress   | Finished subset 7/211, 3.32 percent done
INFO     | 2019-02-27 17:09:27,808 | progress   | Finished subset 8/211, 3.79 percent done
INFO     | 2019-02-27 17:09:28,266 | progress   | Finished subset 9/211, 4.27 percent done
INFO     | 2019-02-27 17:09:29,025 | progress   | Finished subset 10/211, 4.74 percent done
INFO     | 2019-02-27 17:09:33,500 | progress   | Finished subset 11/211, 5.21 percent done
INFO     | 2019-02-27 17:09:34,167 | progress   | Finished subset 12/211, 5.69 percent done
INFO     | 2019-02-27 17:09:34,679 | progress   | Finished subset 13/211, 6.16 percent done
INFO     | 2019-02-27 17:09:36,211 | progress   | Finished subset 14/211, 6.64 percent done
INFO     | 2019-02-27 17:09:38,077 | progress   | Finished subset 15/211, 7.11 percent done
INFO     | 2019-02-27 17:09:38,078 | method     | ***Greedy algorithm step 1***
INFO     | 2019-02-27 17:09:43,317 | progress   | Finished subset 16/211, 7.58 percent done
INFO     | 2019-02-27 17:09:46,400 | progress   | Finished subset 17/211, 8.06 percent done
INFO     | 2019-02-27 17:09:48,256 | progress   | Finished subset 18/211, 8.53 percent done
INFO     | 2019-02-27 17:09:50,602 | progress   | Finished subset 19/211, 9.00 percent done
INFO     | 2019-02-27 17:09:52,365 | progress   | Finished subset 20/211, 9.48 percent done
