taxon age
2001.UA.A1.OD89.DQ823367 10
2001.UA.A1.OD35.DQ823366 10
2001.UA.A1.OD10.DQ823365 10
2001.UA.A1.KV254.DQ823361 10
2001.UA.A1.Pol303.DQ823360 10
2001.UA.A1.Pol293.DQ823359 10
2001.UA.A1.DN121.DQ823358 10
2001.UA.A1.DN139.DQ823357 10
2001.UA.A1.Pol294.DQ823356 10
2000.UA.A1.UA0116.AF413987 11
1996.UA.A.28.AF025596 15
1996.UA.A.27.AF025595 15
1996.UA.A.26.AF025594 15
1996.UA.A.25.AF025593 15
1996.UA.A.24.AF025592 15
1996.UA.A.23.AF025591 15
1996.UA.A.22.AF025590 15
1996.UA.A.21.AF025589 15
1996.UA.A.20.AF025588 15
1993.UA.A.19.AF025587 18
1993.UA.A.18.AF025586 18
1993.UA.A.17.AF025585 18
1993.UA.A.16.AF025584 18
1993.UA.A.15.AF025583 18
1993.UA.A.14.AF025582 18
1993.UA.A.13.AF025581 18
1993.UA.A.12.AF025580 18
1997.UA.A1.63.AF082486 14
1996.UA.A1.1165.U93676 15
1996.UA.A.1127.U93665 15
1995.UA.A.OD97.AF100939 16
1995.UA.A.KI127.AF100934 16
1996.UA.A.Od96.AF098953 15
2000.RU.A1.RU00051.EF545108 11
2003.RU.A1.RU20.AY500393 8
2008.RU.A1.A79.FJ864679 3
2008.RU.A1.SC3410.GU481683 3
2007.RU.A1.SC3208.GU481660 4
2006.RU.A1.SC1457.GU481635 5
2006.RU.A1.SC1233.GU481589 5
2008.RU.A1.R589.GU481565 3
2007.RU.A1.R575.GU481536 4
2007.RU.A1.R526.GU481518 4
2007.RU.A1.R497.GU481471 4
2006.RU.A1.R392.GU481420 5
2006.RU.A1.R163.GU481391 5
2008.RU.A1.R053.GU481370 3
2008.RU.A1.K84.GU481328 3
2008.RU.A1.K08.GU481276 3
2002.RU.A1.H410.GU481253 9
2002.RU.A1.H408.GU481202 9
2008.RU.A1.H386.GU481155 3
2006.RU.A1.1074.HQ385842 5
2006.RU.A1.1059.HQ385840 5
2006.RU.A1.1056.HQ385839 5
2006.RU.A1.1055.HQ385838 5
2006.RU.A1.1041.HQ385837 5
2006.RU.A1.1013.HQ385830 5
2007.RU.A1.26.HQ385820 4
2007.RU.A1.21.HQ385819 4
2007.RU.A1.RU064.HQ385818 4
2007.RU.A1.5.HQ385817 4
2006.RU.A1.D_03.HQ338117 5
2007.RU.A1.56_07.HQ338113 4
2007.RU.A1.41_07.HQ338112 4
2007.RU.A1.055_07.HQ338111 4
2008.RU.A1.RUA009.HQ616096 3
2008.RU.A1.RUA007.HQ616092 3
2008.RU.A1.RUA002.HQ616084 3
2008.RU.A1.RUA003.HQ616085 3
2008.RU.A1.RUA001.HQ616083 3
2007.RU.A1.-.JF327807 4
2008.RU.A1.RUA006.JF430896 3
2006.RU.A1.B_049.JQ292900 5
2006.RU.A1.1038.JQ292898 5
2006.RU.A1.1016.JQ292896 5
2002.RU.A1.RU01029.JQ292892 9
2006.RU.A1.1035.JQ292897 5
2005.RU.A1.1125.JQ292895 6
2008.RU.A1.RUA004.HQ834965 3
2006.RU.A1.1080.HQ896492 5
2006.RU.A1.-.HQ896489 5
2006.RU.A1.1040.JF952017 5
2000.RU.A1.-.JF952015 11
2000.RU.A1.00034.JF952013 11
2007.RU.A1.-.JF952018 4
1999.RU.A1.014.JF952016 12
1999.RU.A1.00038.JF952014 12
2000.RU.A1.00031.JF952012 11
2010.RU.A1.6792.JX500695 1
2010.RU.A1.6617.JX500696 1
2011.RU.A1.-.JX500694 0
